ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
PG-0035,small_airport,Nowata Airport,2040,OC,PG,PG-MBA,,,NWT,NTA,"149.729166667, -9.984166666669998"
USHN,medium_airport,Nyagan Airport,361,EU,RU,RU-KHM,Nyagan,USHN,NYA,,"65.614998, 62.110001"
HKNI,small_airport,Nyeri Airport,5830,AF,KE,KE-200,Nyeri,HKNI,NYE,,"36.978485107421875, -0.3644140064716339"
DGSN,medium_airport,Sunyani Airport,1014,AF,GH,GH-BA,Sunyani,DGSN,NYI,,"-2.3287599086761475, 7.361830234527588"
HKNY,medium_airport,Nanyuki Airport,6250,AF,KE,KE-200,Nanyuki,HKNL,NYK,,"37.041008, -0.062399"
USMM,medium_airport,Nadym Airport,49,AS,RU,RU-YAN,Nadym,USMM,NYM,,"72.69889831542969, 65.48090362548828"
YNYN,small_airport,Nyngan Airport,569,OC,AU,AU-NSW,,YNYN,NYN,,"147.2030029296875, -31.55109977722168"
ESKN,medium_airport,Stockholm Skavsta Airport,140,EU,SE,SE-D,Stockholm / NykÃ¶ping,ESKN,NYO,,"16.912200927734375, 58.78860092163086"
UENN,small_airport,Nyurba Airport,394,EU,RU,RU-SA,Nyurba,UENN,NYR,,"118.336998, 63.294998"
VYEL,medium_airport,Naypyidaw Airport,302,AS,MM,MM-04,Pyinmana,VYNT,NYT,,"96.200996, 19.623501"
VYBG,small_airport,Bagan Airport,312,AS,MM,MM-04,Nyaung U,VYBG,NYU,,"94.9301986694336, 21.178800582885742"
VYMY,small_airport,Monywar Airport,298,AS,MM,MM-01,Monywar,VYMY,NYW,,"95.093479, 22.221638"
FNZG,small_airport,Nzagi Airport,2431,AF,AO,AO-LNO,Nzagi,FNZG,NZA,,"21.358200073200003, -7.716939926149999"
SPZA,medium_airport,Maria Reiche Neuman Airport,1860,SA,PE,PE-ICA,Nazca,SPZA,NZC,,"-74.9615020752, -14.854000091600001"
GUNZ,small_airport,NzÃ©rÃ©korÃ© Airport,1657,AF,GN,GN-N,NzÃ©rÃ©korÃ©,GUNZ,NZE,,"-8.7017974853516, 7.8060193061829"
ZBMZ,medium_airport,Manzhouli Xijiao Airport,2231,AS,CN,CN-15,,ZBMZ,NZH,,"117.33, 49.566667"
ZBZL,medium_airport,Chengjisihan Airport,928,AS,CN,CN-15,Zhalantun,ZBZL,NZL,,"122.767503, 47.865833"
KNZY,medium_airport,North Island Naval Air Station-Halsey Field,26,NA,US,US-CA,San Diego,KNZY,NZY,NZY,"-117.2149963, 32.69919968"
O62,closed,Carmel Valley,,NA,US,US-CA,,,O62,,"-121.72911644, 36.4814843441"
OAA,small_airport,Shank Air Base,6890,AS,AF,AF-LOW,,OASH,OAA,,"69.07722222219999, 33.9225"
YORG,medium_airport,Orange Airport,3115,OC,AU,AU-NSW,Orange,YORG,OAG,,"149.132995605, -33.3816986084"
OASD,small_airport,Shindand Airport,3773,AS,AF,AF-FRA,,OASD,OAH,,"62.2610015869, 33.3913002014"
OAIX,medium_airport,Bagram Air Base,4895,AS,AF,AF-PAR,Bagram,OAIX,OAI,,"69.26499938959999, 34.9460983276"
KOAJ,medium_airport,Albert J Ellis Airport,94,NA,US,US-NC,Jacksonville,KOAJ,OAJ,OAJ,"-77.61209869380001, 34.8292007446"
KOAK,large_airport,Metropolitan Oakland International Airport,9,NA,US,US-CA,Oakland,KOAK,OAK,OAK,"-122.221001, 37.721298"
SSKW,small_airport,Cacoal Airport,778,SA,BR,BR-RO,Cacoal,SSKW,OAL,,"-61.4508, -11.496"
NZOU,medium_airport,Oamaru Airport,99,OC,NZ,NZ-OTA,,NZOU,OAM,,"171.08200073242188, -44.970001220703125"
MHEA,small_airport,El ArrayÃ¡n Airport,722,NA,HN,HN-YO,Olanchito,MHOA,OAN,,"-86.574722, 15.505556"
KOAR,small_airport,Marina Municipal Airport,137,NA,US,US-CA,Marina,KOAR,OAR,OAR,"-121.762001, 36.68190002"
OASA,small_airport,Sharana Airstrip,7340,AS,AF,AF-PKA,Sharana,OASA,OAS,,"68.838517, 33.12575"
MMOX,medium_airport,XoxocotlÃ¡n International Airport,4989,NA,MX,MX-OAX,Oaxaca,MMOX,OAX,,"-96.726600647, 16.9999008179"
OAZI,small_airport,Camp Bastion Airport,2943,AS,AF,AF-HEL,,OAZI,OAZ,,"64.2246017456, 31.863800048799998"
HDOB,small_airport,Obock Airport,69,AF,DJ,DJ-OB,Obock,HDOB,OBC,,"43.266998291015625, 11.967000007629395"
ID-OBD,small_airport,Obano Airport,5800,AS,ID,ID-PA,Obano-Papua Island,WABR,OBD,,"136.2306, -3.9106"
KOBE,small_airport,Okeechobee County Airport,34,NA,US,US-FL,Okeechobee,KOBE,OBE,OBE,"-80.8498001099, 27.262800216699997"
EDMO,medium_airport,Oberpfaffenhofen Airport,1947,EU,DE,DE-BY,,EDMO,OBF,,"11.2831, 48.081402"
SNTI,small_airport,Ãbidos Airport,328,SA,BR,BR-PA,Ãbidos,SNTI,OBI,SNTI,"-55.514400482177734, -1.867169976234436"
OBK,closed,Sky Harbor Airport,675,NA,US,US-IL,Northbrook,,OBK,,"-87.85555555559999, 42.1438888889"
EBZR,small_airport,Zoersel (Oostmalle) Airfield,53,EU,BE,BE-VAN,Zoersel,EBZR,OBL,,"4.75333, 51.264702"
AYMB,small_airport,Morobe Airport,8,OC,PG,PG-MPL,Morobe,AYMB,OBM,MBE,"147.59, -7.74"
EGEO,small_airport,Oban Airport,20,EU,GB,GB-SCT,North Connel,EGEO,OBN,,"-5.399670124053955, 56.4635009765625"
RJCB,medium_airport,Tokachi-Obihiro Airport,505,AS,JP,JP-01,Obihiro,RJCB,OBO,,"143.216995239, 42.7332992554"
LFHO,medium_airport,Aubenas-ArdÃ¨che MÃ©ridional Airport,923,EU,FR,FR-V,Aubenas/ArdÃ¨che MÃ©ridional,LFHO,OBS,,"4.372192, 44.544203"
PAOB,small_airport,Kobuk Airport,137,NA,US,US-AK,Kobuk,PAOB,OBU,OBU,"-156.897003174, 66.9123001099"
PG-OBX,small_airport,Obo Airport,29,OC,PG,PG-WPD,Obo,AYOB,OBX,OBO,"141.324262619, -7.590622421369999"
BGSC,heliport,Ittoqqortoormiit Heliport,238,NA,GL,GL-U-A,Ittoqqortoormiit,BGSC,OBY,,"-21.971679925900002, 70.4882288244"
07FA,small_airport,Ocean Reef Club Airport,8,NA,US,US-FL,Key Largo,07FA,OCA,07FA,"-80.274803161621, 25.325399398804"
SECO,medium_airport,Francisco De Orellana Airport,834,SA,EC,EC-D,Coca,SECO,OCC,,"-76.98680114746094, -0.4628860056400299"
KOXB,small_airport,Ocean City Municipal Airport,11,NA,US,US-MD,Ocean City,KOXB,OCE,OXB,"-75.124000549316, 38.310398101807"
KOCF,small_airport,Ocala International Airport - Jim Taylor Field,90,NA,US,US-FL,Ocala,KOCF,OCF,OCF,"-82.22419739, 29.17259979"
KOCH,small_airport,A L Mangham Jr. Regional Airport,355,NA,US,US-TX,Nacogdoches,KOCH,OCH,OCH,"-94.70950317, 31.57799911"
MKBS,medium_airport,Boscobel Aerodrome,90,NA,JM,JM-05,Ocho Rios,MKBS,OCJ,,"-76.96900177001953, 18.404199600219727"
YBGD,small_airport,Boolgeeda,1871,OC,AU,AU-WA,,YBGD,OCM,,"117.275, -22.54"
KOKB,small_airport,Oceanside Municipal Airport,28,NA,US,US-CA,Oceanside,KOKB,OCN,OKB,"-117.35399627686, 33.217300415039"
OCS,small_airport,Corisco International Airport,55,AF,GQ,GQ-LI,Corisco Island,,OCS,,"9.3304, 0.9125"
SKOC,medium_airport,Aguas Claras Airport,3850,SA,CO,CO-NSA,OcaÃ±a,SKOC,OCV,OCV,"-73.3583, 8.31506"
KOCW,small_airport,Warren Field,38,NA,US,US-NC,Washington,KOCW,OCW,OCW,"-77.049797058105, 35.570499420166"
FEFW,small_airport,Ouadda Airport,2461,AF,CF,CF-HK,Ouadda,FEFW,ODA,,"22.39859962463379, 8.010560035705566"
LEBA,medium_airport,CÃ³rdoba Airport,297,EU,ES,ES-AN,CÃ³rdoba,LEBA,ODB,,"-4.848879814147949, 37.84199905395508"
KO27,small_airport,Oakdale Airport,237,NA,US,US-CA,Oakdale,O27,ODC,O27,"-120.8000031, 37.75630188"
YOOD,small_airport,Oodnadatta Airport,118,OC,AU,AU-SA,,YOOD,ODD,,"135.44700622558594, -27.56170082092285"
EKOD,medium_airport,Odense Airport,56,EU,DK,DK-83,Odense,EKOD,ODE,,"10.330900192260742, 55.47669982910156"
EGVO,medium_airport,RAF Odiham,405,EU,GB,GB-ENG,Odiham,EGVO,ODH,,"-0.94282501936, 51.2341003418"
FEGO,small_airport,Ouanda DjallÃ© Airport,1985,AF,CF,CF-VR,Ouanda DjallÃ©,FEGO,ODJ,,"22.783000946044922, 8.899999618530273"
YCOD,small_airport,Cordillo Downs Airport,125,OC,AU,AU-SA,Cordillo Downs,YCOD,ODL,,"140.63800048828125, -26.74530029296875"
WBGI,small_airport,Long Seridan Airport,607,AS,MY,MY-13,Long Seridan,WBGI,ODN,,"115.05000305175781, 3.9670000076293945"
UIKB,small_airport,Bodaybo Airport,919,AS,RU,RU-IRK,Bodaybo,UIKB,ODO,,"114.242996216, 57.866100311299995"
YORV,small_airport,Ord River Airport,390,OC,AU,AU-WA,Ord River,YORV,ODR,,"128.91200256347656, -17.34079933166504"
UKOO,large_airport,Odessa International Airport,172,EU,UA,UA-51,Odessa,UKOO,ODS,,"30.67650032043457, 46.42679977416992"
KOKH,small_airport,AJ Eisenberg Airport,193,NA,US,US-WA,Oak Harbor,KOKH,ODW,OKH,"-122.674003601, 48.251499176"
VLOS,small_airport,Oudomsay Airport,1804,AS,LA,LA-OU,Oudomsay,VLOS,ODY,,"101.99400329589844, 20.68269920349121"
KOEA,small_airport,O'Neal Airport,414,NA,US,US-IN,Vincennes,KOEA,OEA,OEA,"-87.5522003174, 38.6913986206"
WPOC,medium_airport,Rota Do SÃ¢ndalo Oecusse Airport,,AS,TL,TL-OE,Oecussi-Ambeno,WPOC,OEC,,"124.343002, -9.19806"
UUOR,medium_airport,Oryol Yuzhny Airport,656,EU,RU,RU-ORL,Orel,UUOR,OEL,,"36.0022010803, 52.934700012200004"
SMPA,small_airport,Vincent Fayks Airport,714,SA,SR,SR-SI,Paloemeu,SMPA,OEM,,"-55.442501068115234, 3.3452799320220947"
KOEO,small_airport,L O Simenstad Municipal Airport,903,NA,US,US-WI,Osceola,KOEO,OEO,OEO,"-92.691902160645, 45.310001373291"
ESNO,medium_airport,ÃrnskÃ¶ldsvik Airport,354,EU,SE,SE-Y,ÃrnskÃ¶ldsvik,ESNO,OER,,"18.989999771118164, 63.40829849243164"
SAVN,small_airport,Antoine de Saint ExupÃ©ry Airport,85,SA,AR,AR-R,San Antonio Oeste,SAVN,OES,SAN,"-65.0343, -40.7512"
KOFF,medium_airport,Offutt Air Force Base,1052,NA,US,US-NE,Omaha,KOFF,OFF,OFF,"-95.912498474121, 41.118301391602"
DIOF,small_airport,Ouango Fitini Airport,974,AF,CI,CI-08,Ouango Fitini,DIOF,OFI,,"-4.050000190734863, 9.600000381469727"
BIOF,small_airport,ÃlafsfjÃ¶rÃ°ur Airport,32,EU,IS,IS-6,ÃlafsfjÃ¶rÃ°ur,BIOF,OFJ,,"-18.66670036315918, 66.08329772949219"
KOFK,medium_airport,Karl Stefan Memorial Airport,1573,NA,US,US-NE,Norfolk,KOFK,OFK,OFK,"-97.435096740723, 41.985500335693"
NSAS,small_airport,Ofu Village Airport,9,OC,AS,AS-U-A,Ofu Village,NSAS,OFU,Z08,"-169.669998, -14.1844"
KOGA,small_airport,Searle Field,3279,NA,US,US-NE,Ogallala,KOGA,OGA,OGA,"-101.7699966, 41.11949921"
KOGB,medium_airport,Orangeburg Municipal Airport,195,NA,US,US-SC,Orangeburg,KOGB,OGB,OGB,"-80.859497070312, 33.456798553467"
KOGD,medium_airport,Ogden Hinckley Airport,4473,NA,US,US-UT,Ogden,KOGD,OGD,OGD,"-112.0120010376, 41.195899963379"
OGE,small_airport,Ogeranang Airport,5850,OC,PG,PG-MPL,,AYOG,OGE,OGN,"147.364166667, -6.46675"
PHOG,medium_airport,Kahului Airport,54,NA,US,US-HI,Kahului,PHOG,OGG,OGG,"-156.429993, 20.8986"
SYGO,medium_airport,Eugene F. Correira International Airport,10,SA,GY,GY-DE,Ogle,SYEC,OGL,,"-58.1059, 6.80628"
OGM,small_airport,Ogubsucum Airport,13,NA,PA,PA-KY,Ustupo,,OGM,,"-77.93385, 9.1383"
ROYN,medium_airport,Yonaguni Airport,70,AS,JP,JP-47,,ROYN,OGN,,"122.97799682617188, 24.466899871826172"
DIAU,small_airport,Abengourou Airport,676,AF,CI,CI-05,Abengourou,DIAU,OGO,,"-3.4702799320220947, 6.715559959411621"
FTTB,small_airport,Bongor Airport,1076,AF,TD,TD-MK,Bongor,FTTB,OGR,,"15.381099700927734, 10.288100242614746"
KOGS,small_airport,Ogdensburg International Airport,297,NA,US,US-NY,Ogdensburg,KOGS,OGS,OGS,"-75.46549987790002, 44.6819000244"
TR-0025,small_airport,Ordu Giresun Airport,11,AS,TR,TR-52,Ordu,LTCB,OGU,OGU,"38.080994, 40.966047"
DAUU,medium_airport,Ain el Beida Airport,492,AF,DZ,DZ-30,Ouargla,DAUU,OGX,,"5.412779808044434, 31.917200088500977"
URMO,medium_airport,Beslan Airport,1673,EU,RU,RU-SE,Beslan,URMO,OGZ,,"44.6066017151, 43.2051010132"
NZOH,medium_airport,RNZAF Base Ohakea,164,OC,NZ,NZ-MWT,,NZOH,OHA,,"175.38800048828125, -40.20600128173828"
MG-0001,small_airport,Ambohibary Airport,2960,AF,MG,MG-A,Moramanga,FMFE,OHB,OMB,"48.2181944444, -18.9175"
LWOH,medium_airport,Ohrid St. Paul the Apostle Airport,2313,EU,MK,MK-003,Ohrid,LWOH,OHD,,"20.7423, 41.18"
ZYMH,medium_airport,Gu-Lian Airport,1836,AS,CN,CN-23,Mohe,ZYMH,OHE,,"122.43, 52.912777777799995"
UHSH,small_airport,Okha Airport,115,AS,RU,RU-SAK,Okha,UHSH,OHH,,"142.88999939, 53.5200004578"
FYOS,small_airport,Oshakati Airport,3616,AF,NA,NA-ON,Oshakati,FYOS,OHI,,"15.6993, -17.797"
UHOO,medium_airport,Okhotsk Airport,,AS,RU,RU-KHA,Okhotsk,UHOO,OHO,,"143.05650329589844, 59.410064697265625"
EDXY,small_airport,Wyk auf FÃ¶hr Airport,26,EU,DE,DE-SH,Wyk auf FÃ¶hr,EDXY,OHR,,"8.528332710266113, 54.684444427490234"
OOSH,small_airport,Sohar Airport,20,AS,OM,OM-BA,Sohar,OOSH,OHS,,"56.62541, 24.38604"
OPKT,small_airport,Kohat Airport,1650,AS,PK,PK-NW,Kohat,OPKT,OHT,,"71.4400024414, 33.5699996948"
SDOW,small_airport,OurilÃ¢ndia do Norte Airport,901,SA,BR,BR-PA,OurilÃ¢ndia do Norte,SDOW,OIA,SDOW,"-51.0499000549, -6.763100147250001"
KOIC,small_airport,Lt Warren Eaton Airport,1025,NA,US,US-NY,Norwich,KOIC,OIC,OIC,"-75.524101257324, 42.566600799561"
KOIL,closed,Splane Memorial Airport,1552,NA,US,US-PA,Oil City,KOIL,OIL,OIL,"-79.7449, 41.4813"
RJTO,medium_airport,Oshima Airport,130,AS,JP,JP-13,Izu Oshima,RJTO,OIM,,"139.36000061, 34.782001495399996"
RJEO,medium_airport,Okushiri Airport,161,AS,JP,JP-01,Okushiri Island,RJEO,OIR,,"139.432998657, 42.0717010498"
RJFO,medium_airport,Oita Airport,19,AS,JP,JP-44,Oita,RJFO,OIT,,"131.736999512, 33.479400634799994"
KOJC,small_airport,Johnson County Executive Airport,1096,NA,US,US-KS,Olathe,KOJC,OJC,OJC,"-94.73760223, 38.84759903"
ROAH,large_airport,Naha Airport,12,AS,JP,JP-47,Naha,ROAH,OKA,,"127.646003723, 26.1958007812"
AU-OKB,small_airport,Orchid Beach Airport,71,OC,AU,AU-QLD,Orchid Beach,YORC,OKB,YORC,"153.31500244141, -24.959400177002"
KOKC,large_airport,Will Rogers World Airport,1295,NA,US,US-OK,Oklahoma City,KOKC,OKC,OKC,"-97.60070037841797, 35.39310073852539"
RJCO,medium_airport,Okadama Airport,25,AS,JP,JP-01,Sapporo,RJCO,OKD,,"141.38134, 43.117447"
RJKB,medium_airport,Okierabu Airport,101,AS,JP,JP-46,Okinoerabujima,RJKB,OKE,,"128.701004028, 27.4255008698"
FYOO,small_airport,Okaukuejo Airport,3911,AF,NA,NA-KU,Okaukuejo,FYOO,OKF,,"15.91189956665039, -19.149200439453125"
CG-OKG,small_airport,Okoyo Airport,1415,AF,CG,CG-8,Okoyo,,OKG,,"15.073300361633, -1.4483300447464"
EGXJ,closed,RAF Cottesmore,461,EU,GB,GB-ENG,Cottesmore,EGXJ,OKH,,"-0.648769, 52.735699"
RJNO,medium_airport,Oki Airport,311,AS,JP,JP-32,Okinoshima,RJNO,OKI,,"133.3249969482422, 36.18109893798828"
RJOB,medium_airport,Okayama Airport,806,AS,JP,JP-33,Okayama City,RJOB,OKJ,,"133.854995728, 34.7569007874"
KOKK,small_airport,Kokomo Municipal Airport,830,NA,US,US-IN,Kokomo,KOKK,OKK,OKK,"-86.05899810791, 40.528198242188"
WAJO,small_airport,Oksibil Airport,4315,AS,ID,ID-PA,Oksibil-Papua Island,WAJO,OKL,,"140.6277, -4.9071"
KOKM,small_airport,Okmulgee Regional Airport,720,NA,US,US-OK,Okmulgee,KOKM,OKM,OKM,"-95.948699951172, 35.668098449707"
FOGQ,medium_airport,Okondja Airport,1325,AF,GA,GA-2,Okondja,FOGQ,OKN,,"13.673100471496582, -0.6652140021324158"
RJTY,large_airport,Yokota Air Base,463,AS,JP,JP-13,Fussa,RJTY,OKO,,"139.34800720214844, 35.74850082397461"
AYOJ,small_airport,Oksapmin Airport,5140,OC,PG,PG-SAN,Oksapmin,AYOJ,OKP,OKN,"142.2259, -5.2261"
WAKO,small_airport,Okaba Airport,23,AS,ID,ID-PA,Okaba-Papua Island,WAKO,OKQ,,"139.7233, -8.0946"
YYKI,small_airport,Yorke Island Airport,10,OC,AU,AU-QLD,Yorke Island,YYKI,OKR,,"143.405673, -9.752801"
KOKS,small_airport,Garden County Airport/King Rhiley Field,3394,NA,US,US-NE,Oshkosh,KOKS,OKS,OKS,"-102.355003, 41.401001"
UWUK,small_airport,Oktyabrskiy Airport,377,EU,RU,RU-TA,Kzyl-Yar,UWUK,OKT,,"53.3883018494, 54.4399986267"
FYMO,small_airport,Mokuti Lodge Airport,3665,AF,NA,NA-OT,Mokuti Lodge,FYMO,OKU,,"17.05940055847168, -18.81279945373535"
OKV,small_airport,Okao Airport,450,OC,PG,PG-WPD,Okao,AYOF,OKV,OKO,"141.032777778, -5.55666666667"
YBOK,medium_airport,Oakey Airport,1335,OC,AU,AU-QLD,,YBOK,OKY,,"151.73500061035156, -27.411399841308594"
ENOL,medium_airport,Ãrland Airport,28,EU,NO,NO-16,Ãrland,ENOL,OLA,,"9.604000091552734, 63.69889831542969"
LIEO,medium_airport,Olbia Costa Smeralda Airport,37,EU,IT,IT-88,Olbia (SS),LIEO,OLB,SS03,"9.51763, 40.898701"
SDCG,small_airport,Senadora Eunice Micheles Airport,335,SA,BR,BR-AM,SÃ£o Paulo De OlivenÃ§a,SDCG,OLC,SDCG,"-68.9204120636, -3.46792950765"
KOLD,small_airport,"Dewitt Field,Old Town Municipal Airport",126,NA,US,US-ME,Old Town,KOLD,OLD,OLD,"-68.67430115, 44.95280075"
KOLF,medium_airport,L M Clayton Airport,1986,NA,US,US-MT,Wolf Point,KOLF,OLF,OLF,"-105.574996948, 48.094501495399996"
BIRF,small_airport,Rif Airport,18,EU,IS,IS-3,Rif,BIRF,OLI,,"-23.8230991364, 64.9113998413"
NVSZ,small_airport,North West Santo Airport,50,OC,VU,VU-SAM,Olpoi,NVSZ,OLJ,,"166.557998657, -14.881699562099998"
PY-OLK,small_airport,Fuerte Olimpo Airport,275,SA,PY,PY-16,Fuerte Olimpo,SGOL,OLK,,"-57.8825, -21.0452"
FCOD,medium_airport,Oyo Ollombo Airport,1073,AF,CG,CG-14,Oyo,FCOD,OLL,,"15.91, -1.226666"
KOLM,medium_airport,Olympia Regional Airport,209,NA,US,US-WA,Olympia,KOLM,OLM,OLM,"-122.9029999, 46.9693985"
AR-0494,small_airport,Colonia Sarmiento Airport,877,SA,AR,AR-U,Sarmiento,,OLN,STO,"-68.999841, -45.582371"
LKOL,small_airport,Olomouc-NeÅedÃ­n Airport,869,EU,CZ,CZ-OL,Olomouc,LKOL,OLO,,"17.2108, 49.587799"
YOLD,small_airport,Olympic Dam Airport,343,OC,AU,AU-SA,Olympic Dam,YOLD,OLP,,"136.876998901, -30.485000610399997"
OLQ,small_airport,Olsobip Airport,1500,OC,PG,PG-WPD,Olsobip,AYOV,OLQ,OLS,"141.515277778, -5.3897222222200005"
AF11,small_airport,Salerno Airport,3780,AS,AF,AF-KHO,Khost,OASL,OLR,,"69.9561, 33.3638"
KOLS,medium_airport,Nogales International Airport,3955,NA,US,US-AZ,Nogales,KOLS,OLS,OLS,"-110.848, 31.4177"
KOLV,small_airport,Olive Branch Airport,402,NA,US,US-MS,Olive Branch,KOLV,OLV,OLV,"-89.78690338130001, 34.9786987305"
KE-6208,small_airport,Olkiombo Airport,5011,AF,KE,KE-700,Olkiombo,HKOK,OLX,,"35.110689, -1.408586"
UEMO,medium_airport,Olyokminsk Airport,656,EU,RU,RU-SA,Olyokminsk,UEMO,OLZ,,"120.471001, 60.397499"
KOMA,large_airport,Eppley Airfield,984,NA,US,US-NE,Omaha,KOMA,OMA,OMA,"-95.894096, 41.3032"
FOOH,medium_airport,Omboue Hopital Airport,33,AF,GA,GA-8,Omboue,FOOH,OMB,,"9.262689590454102, -1.5747300386428833"
RPVO,medium_airport,Ormoc Airport,83,AS,PH,PH-LEY,Ormoc City,RPVO,OMC,,"124.56500244140625, 11.057999610900879"
FYOG,medium_airport,Oranjemund Airport,14,AF,NA,NA-KA,Oranjemund,FYOG,OMD,,"16.446699, -28.5847"
PAOM,medium_airport,Nome Airport,37,NA,US,US-AK,Nome,PAOM,OME,OME,"-165.44500732421875, 64.51219940185547"
OJMF,small_airport,King Hussein Air College,2240,AS,JO,JO-MA,Mafraq,OJMF,OMF,,"36.259201, 32.3564"
FYOE,small_airport,Omega Airport,3346,AF,NA,NA-KE,Omega,FYOE,OMG,,"22.189699, -18.0303"
OITR,medium_airport,Urmia Airport,4343,AS,IR,IR-02,Urmia,OITR,OMH,,"45.0686988831, 37.6680984497"
OIAJ,small_airport,Omidiyeh Airport,85,AS,IR,IR-10,Omidiyeh,OIAJ,OMI,,"49.5349006652832, 30.8351993560791"
KOMK,small_airport,Omak Airport,1305,NA,US,US-WA,Omak,KOMK,OMK,OMK,"-119.517997742, 48.4644012451"
OML,closed,Omkalai Airport,5700,OC,PG,PG-CPK,Omkalai,,OML,,"144.96, -6.179"
OOMX,small_airport,Marmul Airport,925,AS,OM,OM-ZU,Marmul,OOMX,OMM,,"55.182098388671875, 18.13599967956543"
OMN,small_airport,Osmanabad Airport,2277,AS,IN,IN-MM,Osmanabad,,OMN,,"76.0574, 18.281"
LQMO,medium_airport,Mostar International Airport,156,EU,BA,BA-BIH,Mostar,LQMO,OMO,,"17.84589958190918, 43.282901763916016"
LROD,medium_airport,Oradea International Airport,465,EU,RO,RO-BH,Oradea,LROD,OMR,,"21.90250015258789, 47.025299072265625"
UNOO,medium_airport,Omsk Central Airport,311,AS,RU,RU-OMS,Omsk,UNOO,OMS,,"73.31050109863281, 54.96699905395508"
OMY,small_airport,Preah Vinhear Airport,350,AS,KH,KH-13,Tbeng Meanchey,,OMY,,"104.97173, 13.7597"
ONB,small_airport,Ononge Airport,5800,OC,PG,PG-CPM,Onange Mission,AYQQ,ONB,ONG,"147.262416667, -8.67436111111"
FYOA,medium_airport,Ondangwa Airport,3599,AF,NA,NA-ON,Ondangwa,FYOA,OND,,"15.9526, -17.878201"
YMTI,small_airport,Mornington Island Airport,33,OC,AU,AU-QLD,,YMTI,ONG,,"139.17799377441406, -16.662500381469727"
WABD,small_airport,Moanamani Airport,5204,AS,ID,ID-PA,Moanamani-Papua Island,WABD,ONI,,"136.0832977294922, -3.9834020137786865"
RJSR,medium_airport,Odate Noshiro Airport,292,AS,JP,JP-05,Odate,RJSR,ONJ,,"140.371002197, 40.1918983459"
UERO,small_airport,Olenyok Airport,847,EU,RU,RU-SA,Olenyok,UERO,ONK,,"112.480003, 68.514999"
KONL,small_airport,The O'Neill Municipal John L Baker Field,2031,NA,US,US-NE,O'Neill,KONL,ONL,ONL,"-98.688103, 42.469898"
KONO,small_airport,Ontario Municipal Airport,2193,NA,US,US-OR,Ontario,KONO,ONO,ONO,"-117.01399993896, 44.020500183105"
KONP,medium_airport,Newport Municipal Airport,160,NA,US,US-OR,Newport,KONP,ONP,ONP,"-124.057999, 44.580399"
LTAS,small_airport,Zonguldak Airport,39,AS,TR,TR-67,Zonguldak,LTAS,ONQ,,"32.0886001587, 41.506401062"
YMNK,small_airport,Monkira Airport,107,OC,AU,AU-QLD,,YMNK,ONR,,"140.5330047607422, -24.816699981689453"
YOLW,small_airport,Onslow Airport,7,OC,AU,AU-WA,,YOLW,ONS,,"115.1129989624, -21.668300628662"
KONT,large_airport,Ontario International Airport,944,NA,US,US-CA,Ontario,KONT,ONT,ONT,"-117.60099792480469, 34.055999755859375"
NFOL,small_airport,Ono-i-Lau Airport,110,OC,FJ,FJ-E,Ono-i-Lau,NFOL,ONU,,"-178.7411, -20.6589"
MPEJ,medium_airport,Enrique Adolfo Jimenez Airport,25,NA,PA,PA-3,ColÃ³n,MPEJ,ONX,,"-79.86740112304688, 9.356639862060547"
PAOO,small_airport,Toksook Bay Airport,59,NA,US,US-AK,Toksook Bay,PAOO,OOK,OOK,"-165.0870056, 60.54140091"
YBCG,medium_airport,Gold Coast Airport,21,OC,AU,AU-QLD,Gold Coast,YBCG,OOL,,"153.505004883, -28.1644001007"
YCOM,medium_airport,Cooma Snowy Mountains Airport,3088,OC,AU,AU-NSW,Cooma,YCOM,OOM,,"148.973999023, -36.3005981445"
YMOO,small_airport,Mooraberree Airport,85,OC,AU,AU-QLD,,YMOO,OOR,,"140.98300170898438, -25.25"
NGON,small_airport,Onotoa Airport,7,OC,KI,KI-G,Onotoa,NGON,OOT,,"175.5260009765625, -1.7961100339889526"
BIKP,small_airport,KÃ³pasker Airport,20,EU,IS,IS-6,KÃ³pasker,BIKP,OPA,,"-16.466699600219727, 66.31079864501953"
AYOY,small_airport,Open Bay Airport,33,OC,PG,PG-WBK,Maitanakunai,AYOY,OPB,OBY,"151.696195, -4.794727"
KOPF,medium_airport,Miami-Opa Locka Executive Airport,8,NA,US,US-FL,Miami,KOPF,OPF,OPF,"-80.278397, 25.907"
YOEN,small_airport,Oenpelli Airport,30,OC,AU,AU-NT,,YOEN,OPI,,"133.00599670410156, -12.324999809265137"
LPPR,large_airport,Francisco de SÃ¡ Carneiro Airport,228,EU,PT,PT-13,Porto,LPPR,OPO,,"-8.68138980865, 41.2481002808"
SWSI,small_airport,Presidente JoÃ£o Batista Figueiredo Airport,1227,SA,BR,BR-MT,Sinop,SBSI,OPS,MT0002,"-55.586109, -11.885001"
PG-OPU,medium_airport,Balimo Airport,51,OC,PG,PG-WPD,Balimo,AYBM,OPU,BLI,"142.932998657, -8.05000019073"
FYOP,small_airport,Opuwa Airport,3770,AF,NA,NA-KU,Opuwa,FYOP,OPW,,"13.85047, -18.061424"
